PropName,PropTypes,LowPrice,HighPrice,Address,Rentals,Project Name,project type,Developer,Tenure,PSF,Completion Year,# of Floors,Total Units,Facilities,Buildings
1-World (THE ONE),Apartment,450000,650000,"Tingkat Mahsuri, OFF Jalan Mahsuri, Bayan Lepas, 11950, Penang",1498 - 2000,1-World (THE ONE),Apartment,Ideal Capital Intelligence Sdn Bhd,Leasehold,N/A,N/A,N/A,N/A,Barbeque Area | Covered car park | Gymnasium room | Playground | 24 hours security | Swimming pool,"Building: Building @ Tingkat Mahsuri, OFF Jalan Mahsuri, Bayan Lepas 11950 | # Floors: N/A | # Units: N/A"
162 Residency,Apartment,235000,355000," Jalan Os 1/1, One Selayang,Batu Caves, 68100, Selangor",900 - 1200,162 Residency,Apartment,B&G Property,Leasehold,N/A,2011,7,454,Covered car park | Perimeter Fencing | Main entrance | Multi-purpose hall | 24 hours security | Surau (Male & Female),Building: 162 Residency  | # Floors: 7 | # Units: 454
1K Tricourt,Apartment,250000,338000,"Jalan Taman Seri Sentosa, Taman Seri Sentosa, 58000, Kuala Lumpur",,1K Tricourt,Apartment,N/A,Freehold,N/A,N/A,N/A,N/A,Open car park | 24 hours security,"Building: Building @ 0 Jalan Taman Seri Sentosa, Taman Seri Sentosa 58000 | # Floors: N/A | # Units: N/A ** Building: Building @ 0 58000 | # Floors: N/A | # Units: N/A"
20trees (The Apartment),Apartment,500000,1700000,"Jalan K5, Taman Melawati, 53100, Kuala Lumpur",3400 - 3600,20trees (The Apartment),Apartment,Selangor Dredging Berhad,Freehold,N/A,N/A,N/A,118,Barbeque Area | Clubhouse | Gymnasium room | Jacuzzi | Jogging track | Picnic Area | Playground | 24 hours security | Swimming pool | Tennis courts | Aeroyoga Room,"Building: Building @ Jalan K5, Taman Melawati 53100 | # Floors: N/A | # Units: 118 ** Building: Building @ - 53100 | # Floors: N/A | # Units: 118"
25 Jalan Gemas,Apartment,0,0,"Jalan Gemas, Taman Kampar, 10460, Penang",,25 Jalan Gemas,Apartment,N/A,Freehold,N/A,N/A,3,N/A,,"Building: Building @ 25 Jalan Gemas, Taman Kampar 10460 | # Floors: 3 | # Units: N/A"
86 Avenue Residences,"Apartment, Condominium",770000,810000,"Off Lorong Perak, Jelutong, 10150, Penang",,86 Avenue Residences,Multiple,Yuan Seng Building Trading,Freehold,N/A,2014,18,96,Barbeque Area | Children's Playground | Perimeter Fencing | Game room | Gymnasium room | Landscaped Garden | Main entrance | Multi-purpose hall | 24 hours security | Table Tennis,Building: 86 Avenue Residences | # Floors: 18 | # Units: 96
Agathis Apartment (Putera Jaya Telipok),Apartment,0,0,"Batu 13, Jalan Tuaran, Telipok, Kota Kinabalu, 88300, Sabah",,Agathis Apartment (Putera Jaya Telipok),Apartment,N/A,Leasehold,N/A,N/A,N/A,N/A,,"Building: Building @ Taman Putera Jaya, Batu 13, Jalan Tuaran, Telipok, Kota Kinabalu 88300 | # Floors: N/A | # Units: N/A ** Building: Building @ Taman Putera Jaya, 88300 | # Floors: N/A | # Units: N/A"
Akasia Apartment @ Setia Alam,Apartment,240000,290000,"Persiaran Setia Prima, Seksyen U3, Setia Alam, 40170, Selangor",,Akasia Apartment @ Setia Alam,Apartment,N/A,Freehold,N/A,N/A,N/A,N/A,24 hours security,"Building: Building @ 4 Persiaran Setia Prima, Seksyen U3, Setia Alam 40170 | # Floors: N/A | # Units: N/A"
Akasia Apartments (Puchong),Apartment,253000,310000,"Jalan Wawasan 2/3, Pusat Bandar Puchong, 47100, Selangor",850 - 1200,Akasia Apartments (Puchong),Apartment,N/A,Freehold,N/A,N/A,10,N/A,Playground | 24 hours security | Swimming pool,"Building: Building @ Jalan Wawasan 2/3, Pusat Bandar Puchong 47100 | # Floors: 10 | # Units: N/A ** Building: Building @ - 47100 | # Floors: 10 | # Units: N/A"
Aman Putra Apartment,Apartment,138600,228000,"Off Taman Aman Putra, Jinjang, 52000, Kuala Lumpur",800 - 1500,Aman Putra Apartment,Apartment,N/A,Freehold,N/A,N/A,9,900,Mini-Mart | Playground | 24 hours security,"Building: Building @ Jalan Aman Putra Off Taman Aman Putra, Jinjang 52000 | # Floors: 9 | # Units: 900"
Amazing Heights,Apartment,220000,260000,"Jalan Sungai Udang, Kg Sungai Udang, Klang, 42000, Selangor",,Amazing Heights,Apartment,N/A,Freehold,N/A,N/A,N/A,N/A,Playground | 24 hours security | Surau (Male & Female) | Swimming pool,"Building: Building @ Jalan Sungai Udang, Kg Sungai Udang, Klang 42000 | # Floors: N/A | # Units: N/A"
Amber Court Apartment,Apartment,230000,500000,"Jalan Ion D'Elemen Genting Highlands, 69000, Pahang",1500 - 4400,Amber Court Apartment,Apartment,N/A,Freehold,N/A,N/A,20,N/A,Covered car park | Jogging track | Main entrance | Mini-Mart | Playground | 24 hours security,Building: Amber Court Apartment | # Floors: 20 | # Units: N/A
Amber Height,Apartment,246000,280000,"Bandar Baru Seri Alam, 81750, Johor",,Amber Height,Apartment,UM Land,Leasehold,N/A,2022,16,240,Covered car park | Gymnasium room | 24 hours security | Swimming pool,Building: Amber Height | # Floors: 16 | # Units: 240
Ampang 971,Townhouse,995000,1800000,"Jalan Ritchie, 55000, Kuala Lumpur",3000 - 5000,Ampang 971,Townhouse,I & P Group Sdn. Berhad.,Freehold,N/A,2014,3,124,Aerobic pool | Barbeque Area | Gymnasium room | Jogging track | Mini-Mart | Playground | 24 hours security | Squash court | Swimming pool | Wading pool,Building: Ampang 971 | # Floors: 3 | # Units: 124
Andorra Apartment,Apartment,150000,175000,"Jalan Mulia 25/73, Taman Sri Muda, Shah Alam, 40400, Selangor",,Andorra Apartment,Apartment,N/A,Freehold,N/A,N/A,5,N/A,Covered car park | Driving range | Eateries | Open car park | Playground | Restaurant,Building: Andorra Apartment | # Floors: 5 | # Units: N/A
Anggerik Apartment (Nilai),Apartment,328000,500000,"Persiaran Bandar Baru Nilai, Taman Desa Anggerik, 71800, Negeri Sembilan",,Anggerik Apartment (Nilai),Apartment,BBN Development Sdn Bhd,Freehold,N/A,N/A,3,N/A,Open car park | Playground | 24 hours security,"Building: Building @ Persiaran Bandar Baru Nilai, Taman Desa Anggerik 71800 | # Floors: 3 | # Units: N/A"
Anggerik Apartment @ Putra Perdana,Apartment,0,0,"Jalan Putra Perdana 1A, Taman Putra Perdana, 47100, Selangor",,Anggerik Apartment @ Putra Perdana,Apartment,N/A,Leasehold,N/A,N/A,5,N/A,Open car park,"Building: Building @ Anggerik Apartment Jalan Putra Perdana 1A, Taman Putra Perdana 47100 | # Floors: 5 | # Units: N/A"
Anggerik Apartment @ Seri Kembangan,Apartment,0,0,"Taman Serdang Jaya, 43300, Selangor",,Anggerik Apartment @ Seri Kembangan,Apartment,N/A,Freehold,N/A,N/A,5,N/A,Mini-Mart | Open car park | Playground,Building: Building @ Jalan Raya 7/1 Taman Serdang Jaya 43300 | # Floors: 5 | # Units: N/A
Anggerik Court (Sandakan),Apartment,0,0,"Taman Anggerik, Sandakan, 90000, Sabah",,Anggerik Court (Sandakan),Apartment,Taraf Teguh Sdn Bhd,Leasehold,N/A,N/A,N/A,N/A,24 hours security,"Building: Building @ Jalan Lintas Sibuga, Taman Anggerik, Sandakan 90000 | # Floors: N/A | # Units: N/A ** Building: Building @ Jalan Lintas Sibuga, 90000 | # Floors: N/A | # Units: N/A"
Anggerik Villa 2 Apartment,Apartment,150000,380000,"Jalan Anggerik Villa 2/2, Taman Anggerik Perdana, 43500, Selangor",700 - 900,Anggerik Villa 2 Apartment,Apartment,N/A,Freehold,N/A,N/A,12,N/A,Covered car park | Playground | 24 hours security,"Building: Building @ Jalan Anggerik Villa 2/2, Taman Anggerik Perdana 43500 | # Floors: 12 | # Units: N/A"
Angsana Apartment (USJ 1),Apartment,115000,179999,"Persiaran Subang Mewah, Taman Subang Permai, 47500, Selangor",650 - 750,Angsana Apartment (USJ 1),Apartment,N/A,Leasehold,N/A,N/A,N/A,N/A,,"Building: Building @ Persiaran Subang Mewah, Taman Subang Permai 47500 | # Floors: N/A | # Units: N/A ** Building: Building @ - 47500 | # Floors: N/A | # Units: N/A"
Antara Apartment,Apartment,0,0,"Jalan Mulia, Taman Mulia Jaya, 68000, Selangor",,Antara Apartment,Apartment,N/A,Freehold,N/A,N/A,5,N/A,,"Building: Building @ Jalan Mulia, Taman Mulia Jaya 68000 | # Floors: 5 | # Units: N/A"
Antilia Shop Apartment,Apartment,0,0,"Jalan Hijau 5/1,Off Pinggiran Lembah Hijau 4, Bandar Tasik Puteri, 48000, Selangor",,Antilia Shop Apartment,Apartment,Indah Jaya Development Sdn Bhd,Leasehold,N/A,2011,N/A,N/A,Open car park,Building: Antilia Shop Apartment  | # Floors: N/A | # Units: N/A
Apartmen Bukit Sri Bintang,Apartment,0,0,"Jalan 2/36, Taman Bukit Sri Bintang, 52100, Kuala Lumpur",,Apartmen Bukit Sri Bintang,Apartment,N/A,Freehold,N/A,N/A,10,240,Covered car park | 24 hours security,"Building: Building @ Jalan 2/36, Taman Bukit Sri Bintang 52100 | # Floors: 10 | # Units: 240"
Apartmen Harmoni,Apartment,110000,570000,"Damansara Damai, 47830, Selangor",475 - 600,Apartmen Harmoni,Apartment,N/A,Freehold,N/A,N/A,5,1100,Open car park | Surau (Male & Female),Building: Apartment Harmoni | # Floors: 5 | # Units: 1100
Apartmen Impian (Damansara Damai),Apartment,150000,244000,"Jalan PJU 10/1F, Damansara Damai, 47830, Selangor",,Apartmen Impian (Damansara Damai),Apartment,N/A,Freehold,N/A,N/A,5,750,Playground | 24 hours security,Building: Apartmen Impian (Damansara Damai) | # Floors: 5 | # Units: 750
Apartmen Kampung Tunku,Apartment,0,0,"Jalan SS1/5, Kampung Tunku, 47300, Selangor",,Apartmen Kampung Tunku,Apartment,N/A,Freehold,N/A,N/A,4,48,Open car park | Playground | 24 hours security,Building: Apartmen Kampung Tunku | # Floors: 4 | # Units: 48
Apartmen Selasih,Apartment,245000,280000,"Jalan PJU 10/1C, 47830, Selangor",475 - 500,Apartmen Selasih,Apartment,N/A,Leasehold,N/A,N/A,5,N/A,Barbeque Area | Gymnasium room | Playground | 24 hours security | Swimming pool | Wading pool,Building: Apartmen Selasih | # Floors: 5 | # Units: N/A
